serial;ambient_temp_C;humidity;object_temp_C;cooling_state;critical_level;time_min
132;-11.25;0.49;-11.25;0.0;0;132
133;-11.25;0.49;-11.25;0.0;0;133
134;-11.25;0.49;-11.25;0.0;0;134
135;-11.25;0.5;-11.25;0.0;0;135
136;-11.25;0.5;-11.25;0.0;0;136
137;-11.25;0.5;-11.25;0.0;0;137
138;-11.25;0.5;-11.25;0.0;0;138
139;-11.25;0.5;-11.25;0.0;0;139
140;-11.25;0.5;-11.25;0.0;0;140
141;-11.25;0.5;-11.25;0.0;0;141
142;-11.25;0.5;-11.25;0.0;0;142
143;-11.25;0.5;-11.25;0.0;0;143
144;-11.25;0.5;-11.25;0.0;0;144
145;-11.25;0.5;-11.25;0.0;0;145
146;-11.25;0.5;-11.25;0.0;0;146
147;-11.25;0.5;-11.25;0.0;0;147
148;-11.25;0.5;-11.25;0.0;0;148
149;-11.25;0.51;-11.25;0.0;0;149
150;-11.25;0.51;-11.25;0.0;0;150
151;-11.25;0.51;-11.25;0.0;0;151
152;-11.25;0.51;-11.25;0.0;0;152
153;-11.25;0.51;-11.25;0.0;0;153
154;-11.25;0.51;-11.25;0.0;0;154
155;-11.25;0.51;-11.25;0.0;0;155
156;-11.25;0.51;-11.25;0.0;0;156
157;-11.25;0.51;-11.25;0.0;0;157
158;-11.25;0.51;-11.25;0.0;0;158
159;-11.25;0.51;-11.25;0.0;0;159
160;-11.25;0.51;-11.25;0.0;0;160
161;-11.25;0.51;-11.25;0.0;0;161
162;-11.25;0.51;-11.25;0.0;0;162
163;-11.25;0.51;-11.25;0.0;0;163
164;-11.25;0.51;-11.25;0.0;0;164
165;-11.25;0.51;-11.25;0.0;0;165
166;-11.25;0.51;-11.25;0.0;0;166
167;-11.25;0.51;-11.25;0.0;0;167
168;-11.25;0.51;-11.25;0.0;0;168
169;-11.25;0.51;-11.25;0.0;0;169
170;-11.25;0.51;-11.25;0.0;0;170
171;-11.25;0.51;-11.25;0.0;0;171
172;-11.25;0.51;-11.25;0.0;0;172
173;-11.25;0.51;-11.25;0.0;0;173
174;-11.25;0.51;-11.25;0.0;0;174
175;-11.25;0.51;-11.25;0.0;0;175
176;-11.25;0.51;-11.25;0.0;0;176
177;-11.25;0.51;-11.25;0.0;0;177
178;-11.25;0.51;-11.25;0.0;0;178
179;-11.25;0.51;-11.25;0.0;0;179
180;-11.25;0.52;-11.25;0.0;0;180
181;-11.25;0.52;-11.25;0.0;0;181
182;-11.25;0.52;-11.25;0.0;0;182
183;-11.25;0.52;-11.25;0.0;0;183
184;-11.25;0.52;-11.25;0.0;0;184
185;-11.25;0.52;-11.25;0.0;0;185
186;-11.25;0.52;-11.25;0.0;0;186
187;-11.25;0.52;-11.25;0.0;0;187
188;-11.25;0.52;-11.25;0.0;0;188
189;-11.25;0.52;-11.25;0.0;0;189
190;-11.25;0.52;-11.25;0.0;0;190
191;-11.25;0.52;-11.25;0.0;0;191
192;-11.25;0.52;-11.25;0.0;0;192
193;-11.25;0.52;-11.25;0.0;0;193
194;-11.25;0.52;-11.25;0.0;0;194
195;-11.25;0.53;-11.25;0.0;0;195
196;-11.25;0.53;-11.25;0.0;0;196
197;-11.25;0.53;-11.25;0.0;0;197
198;-11.25;0.53;-11.25;0.0;0;198
199;-11.25;0.53;-11.25;0.0;0;199
200;-11.25;0.53;-11.25;0.0;0;200
201;-11.25;0.53;-11.25;0.0;0;201
202;-11.25;0.53;-11.25;0.0;0;202
203;-11.25;0.53;-11.25;0.0;0;203
204;-11.25;0.53;-11.25;0.0;0;204
205;-11.25;0.53;-11.25;0.0;0;205
206;-11.25;0.53;-11.25;0.0;0;206
207;-11.25;0.53;-11.25;0.0;0;207
208;-11.25;0.53;-11.25;0.0;0;208
209;-11.25;0.53;-11.25;0.0;0;209
210;-11.25;0.53;-11.25;0.0;0;210
211;-11.25;0.53;-11.25;0.0;0;211
212;-11.25;0.53;-11.25;0.0;0;212
213;-11.25;0.54;-11.25;0.0;0;213
214;-11.25;0.54;-11.25;0.0;0;214
215;-11.25;0.54;-11.25;0.0;0;215
216;-11.25;0.54;-11.25;0.0;0;216
217;-11.25;0.54;-11.25;0.0;0;217
218;-11.25;0.54;-11.25;0.0;0;218
219;-11.25;0.54;-11.25;0.0;0;219
220;-11.25;0.54;-11.25;0.0;0;220
221;-11.25;0.54;-11.25;0.0;0;221
222;-11.25;0.54;-11.25;0.0;0;222
223;-11.25;0.54;-11.25;0.0;0;223
224;-11.25;0.54;-11.25;0.0;0;224
225;-11.25;0.54;-11.25;0.0;0;225
226;-11.25;0.54;-11.25;0.0;0;226
227;-11.25;0.54;-11.25;0.0;0;227
228;-11.25;0.54;-11.25;0.0;0;228
229;-11.25;0.54;-11.25;0.0;0;229
230;-11.25;0.54;-11.25;0.0;0;230
231;-11.25;0.54;-11.25;0.0;0;231
232;-11.25;0.54;-11.25;0.0;0;232
233;-11.25;0.54;-11.25;0.0;0;233
234;-11.25;0.54;-11.25;0.0;0;234
235;-11.25;0.54;-11.25;0.0;0;235
236;-11.25;0.54;-11.25;0.0;0;236
237;-11.25;0.54;-11.25;0.0;0;237
238;-11.25;0.54;-11.25;0.0;0;238
239;-11.25;0.54;-11.25;0.0;0;239
240;-11.25;0.55;-11.25;0.0;0;240
241;-11.25;0.55;-11.25;0.0;0;241
242;-11.25;0.55;-11.25;0.0;0;242
243;-11.25;0.55;-11.25;0.0;0;243
244;-11.25;0.55;-11.25;0.0;0;244
245;-11.25;0.55;-11.25;0.0;0;245
246;-11.25;0.55;-11.25;0.0;0;246
247;-11.25;0.55;-11.25;0.0;0;247
248;-11.25;0.55;-11.25;0.0;0;248
249;-11.25;0.55;-11.25;0.0;0;249
250;-11.25;0.55;-11.25;0.0;0;250
251;-11.25;0.55;-11.25;0.0;0;251
252;-11.25;0.55;-11.25;0.0;0;252
253;-11.25;0.55;-11.25;0.0;0;253
254;-11.25;0.55;-11.25;0.0;0;254
255;-11.25;0.55;-11.25;0.0;0;255
256;-11.25;0.55;-11.25;0.0;0;256
257;-11.25;0.55;-11.25;0.0;0;257
258;-11.25;0.55;-11.25;0.0;0;258
259;-11.25;0.55;-11.25;0.0;0;259
260;-11.25;0.55;-11.25;0.0;0;260
261;-11.25;0.55;-11.25;0.0;0;261
262;-11.25;0.55;-11.25;0.0;0;262
263;-11.25;0.55;-11.25;0.0;0;263
264;-11.25;0.55;-11.25;0.0;0;264
265;-11.25;0.55;-11.25;0.0;0;265
266;-11.25;0.55;-11.25;0.0;0;266
267;-11.25;0.55;-11.25;0.0;0;267
268;-11.25;0.55;-11.25;0.0;0;268
269;-11.25;0.55;-11.25;0.0;0;269
270;-11.25;0.55;-11.25;0.0;0;270
271;-11.25;0.55;-11.25;0.0;0;271
272;-11.25;0.55;-11.25;0.0;0;272
273;-11.25;0.55;-11.25;0.0;0;273
274;-11.25;0.55;-11.25;0.0;0;274
275;-11.25;0.55;-11.25;0.0;0;275
276;-11.25;0.55;-11.25;0.0;0;276
277;-11.25;0.55;-11.25;0.0;0;277
278;-11.25;0.55;-11.25;0.0;0;278
279;-11.25;0.55;-11.25;0.0;0;279
280;-11.25;0.55;-11.25;0.0;0;280
281;-11.25;0.55;-11.25;0.0;0;281
282;-11.25;0.55;-11.25;0.0;0;282
283;-11.25;0.55;-11.25;0.0;0;283
284;-11.25;0.55;-11.25;0.0;0;284
285;-11.25;0.55;-11.25;0.0;0;285
286;-11.25;0.55;-11.25;0.0;0;286
287;-11.25;0.55;-11.25;0.0;0;287
288;-11.25;0.55;-11.25;0.0;0;288
289;-11.25;0.55;-11.25;0.0;0;289
290;-11.25;0.55;-11.25;0.0;0;290
291;-11.25;0.55;-11.25;0.0;0;291
292;-11.25;0.55;-11.25;0.0;0;292
293;-11.25;0.55;-11.25;0.0;0;293
294;-11.25;0.55;-11.25;0.0;0;294
295;-11.25;0.55;-11.25;0.0;0;295
296;-11.25;0.55;-11.25;0.0;0;296
297;-11.25;0.55;-11.25;0.0;0;297
298;-11.25;0.55;-11.25;0.0;0;298
299;-11.25;0.55;-11.25;0.0;0;299
300;-11.25;0.55;-11.25;0.0;0;300
301;-11.25;0.55;-11.25;0.0;0;301
302;-11.25;0.55;-11.25;0.0;0;302
303;-11.25;0.55;-11.25;0.0;0;303
304;-11.25;0.55;-11.25;0.0;0;304
305;-11.25;0.55;-11.25;0.0;0;305
306;-11.25;0.55;-11.25;0.0;0;306
307;-11.25;0.55;-11.25;0.0;0;307
308;-11.25;0.55;-11.25;0.0;0;308
309;-11.25;0.55;-11.25;0.0;0;309
310;-11.25;0.55;-11.25;0.0;0;310
311;-11.25;0.55;-11.25;0.0;0;311
312;-11.25;0.55;-11.25;0.0;0;312
313;-11.25;0.56;-11.25;0.0;0;313
314;-11.25;0.56;-11.25;0.0;0;314
315;-11.25;0.55;-11.25;0.0;0;315
316;-11.25;0.56;-11.25;0.0;0;316
317;-11.25;0.56;-11.25;0.0;0;317
